Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22 pF","C_0805_2012Metric",169.000000,-109.125000,-90.000000,bottom
"C2","22 pF","C_0805_2012Metric",176.775000,-109.150000,90.000000,bottom
"C3","1 uF","C_0805_2012Metric",158.600000,-104.450000,180.000000,bottom
"C4","0.1 uF","C_0805_2012Metric",165.100000,-103.950000,90.000000,bottom
"C5","0.1 uF","C_0805_2012Metric",163.050000,-103.950000,90.000000,bottom
"C6","0.1 uF","C_0805_2012Metric",169.925000,-114.100000,90.000000,bottom
"C7","10 uF","C_0805_2012Metric",172.125000,-114.125000,90.000000,bottom
"C8","100 nF","C_0805_2012Metric",146.600000,-85.000000,90.000000,bottom
"C9","100 nF","C_0805_2012Metric",165.800000,-85.200000,90.000000,bottom
"C10","100 nF","C_0805_2012Metric",184.800000,-85.200000,90.000000,bottom
"C11","100 nF","C_0805_2012Metric",184.600000,-103.950000,90.000000,bottom
"C12","100 nF","C_0805_2012Metric",165.050000,-101.250000,0.000000,bottom
"C13","100 nF","C_0805_2012Metric",146.600000,-104.000000,90.000000,bottom
"D1","Diode","D_SOD-123",158.900000,-79.900000,90.000000,bottom
"D2","Diode","D_SOD-123",159.300000,-99.218750,90.000000,bottom
"D3","Diode","D_SOD-123",178.575000,-80.300000,90.000000,bottom
"D4","Diode","D_SOD-123",178.593750,-99.218750,90.000000,bottom
"D5","Diode","D_SOD-123",197.643750,-80.168750,90.000000,bottom
"D6","Diode","D_SOD-123",196.956250,-99.218750,90.000000,bottom
"D7","PRTR5V0U2X","SOT-143",161.163000,-74.600000,180.000000,bottom
"F1","500m","Fuse_1206_3216Metric",148.200000,-72.136000,180.000000,bottom
"FB1","60@100MHz","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",169.862500,-68.750000,0.000000,bottom
"R1","22","R_0805_2012Metric",162.300000,-90.800000,-90.000000,bottom
"R2","22","R_0805_2012Metric",159.900000,-90.800000,-90.000000,bottom
"R3","10k","R_0805_2012Metric",151.400000,-107.900000,0.000000,bottom
"R4","10k","R_0805_2012Metric",153.700000,-115.100000,90.000000,bottom
"R5","5.1k","R_0805_2012Metric",156.500000,-72.250000,180.000000,bottom
"R6","5.1k","R_0805_2012Metric",165.750000,-72.250000,0.000000,bottom
"R7","500","R_0805_2012Metric",194.750000,-104.100000,-90.000000,bottom
"SW1","SW_Push","SW_SPST_SKQG_WithStem",147.800000,-112.100000,0.000000,bottom
"U2","ATmega32U2-A","TQFP-32_7x7mm_P0.8mm",160.800000,-111.000000,180.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",161.131250,-61.296250,0.000000,bottom
"Y1","16 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",172.850000,-109.100000,0.000000,bottom
