"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_SPST_SKQG_WithStem";1;"SW_Push";;;
2;"D10,D8,D11,D9,D12,D13";"MX_SK6812MINI-E";6;"SK6812MINI-E";;;
3;"S6,S2,S5,S3,S4,S1";"Hotswap_MX_1.00u";6;"Keyswitch";;;
4;"C2,C1";"C_0805_2012Metric";2;"22 pF";;;
5;"C5,C4,C6";"C_0805_2012Metric";3;"0.1 uF";;;
6;"R3,R4";"R_0805_2012Metric";2;"10k";;;
7;"R2,R1";"R_0805_2012Metric";2;"22";;;
8;"D7";"SOT-143";1;"PRTR5V0U2X";;;
9;"C8,C13,C12,C10,C11,C9";"C_0805_2012Metric";6;"100 nF";;;
10;"C3";"C_0805_2012Metric";1;"1 uF";;;
11;"R6,R5";"R_0805_2012Metric";2;"5.1k";;;
12;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"60@100MHz";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16 MHz";;;
14;"D4,D5,D3,D6,D1,D2";"D_SOD-123";6;"Diode";;;
15;"F1";"Fuse_1206_3216Metric";1;"500m";;;
16;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
17;"C7";"C_0805_2012Metric";1;"10 uF";;;
18;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega32U2-A";;;
19;"R7";"R_0805_2012Metric";1;"500";;;
20;"Ref**";"jjkpdlogo";1;"Val**";;;
